,director_name,actor_2_name,gross,actor_1_name,actor_3_name,plot_keywords
1064,P.J. Hogan,Christopher Masterson,126805112.0,Julia Roberts,Rupert Everett,best friend|chick flick|male female friendship|promise|wedding
1065,Joe Roth,Rainn Wilson,93607673.0,Julia Roberts,Larry King,actor|love|movie star|press|publicist
1066,Christopher Nolan,Maura Tierney,67263182.0,Al Pacino,Crystal Lowe,detective|insomnia|murder|partner|police
1067,Jonathan Frakes,Alfre Woodard,92001027.0,LeVar Burton,Jonathan Frakes,21st century|borg|borg sphere|captain|sphere
1068,Jimmy Hayward,Billy Blair,10539414.0,Michael Fassbender,Julia Jones,confederate|death|independence day|military|terrorist
1069,Edward Zwick,Matt Damon,58918501.0,Denzel Washington,Scott Glenn,bravery|honor|medal of honor|military life|unreliable flashback
1070,Tom Shadyac,Swoosie Kurtz,181395380.0,Maura Tierney,Randall 'Tex' Cobb,birthday|birthday wish|father disappoints child|lie|workaholic
1073,Brian Levant,Elizabeth Perkins,130512915.0,Jonathan Winters,Harvey Korman,1000000 b.c.|box office hit|lawn mowing|product placement|stone age
1074,Olivier Megaton,Luke Grimes,139852971.0,Liam Neeson,D.B. Sweeney,albanian|revenge|revenge motive|teenage daughter|vacation
1075,David Zucker,Pamela Anderson,110000082.0,Regina Hall,Jenny McCarthy,crop circle|farm|orchestral music score|reference to michael jackson|videotape
1076,Donald Petrie,Wendy Raquel Robinson,106807667.0,Candice Bergen,Heather Burns,beauty pageant|fbi|female agent|pageant|undercover
1077,Eric Brevig,Brendan Fraser,101702060.0,Josh Hutcherson,Anita Briem,cave|lost world|missing brother|mountain|venus flytrap
1078,Garry Marshall,Raven-Symoné,95149435.0,Anne Hathaway,Hector Elizondo,coronation|horse|princess|queen|side saddle
1079,Alan J. Pakula,Julia Roberts,100768056.0,Denzel Washington,Tony Goldwyn,college professor|fbi|president|professor|supreme court
1080,Joel Schumacher,Anthony LaPaglia,92115211.0,Bradley Whitford,Brad Renfro,boy|brother|lawyer|mafia|senator
1081,Rob Reiner,Noel Gugliemi,93452056.0,Morgan Freeman,Sean Hayes,billionaire|friend|hospital|list|mechanic
1082,Phillip Noyce,Polly Walker,83287363.0,Harrison Ford,Patrick Bergin,analyst|cia|ira|terrorist|terrorist attack
1083,Robert Luketic,Jane Fonda,82931301.0,Adam Scott,Elaine Stritch,breakdown|fight|mother in law|scheme|wedding
1084,Denis Villeneuve,Jake Gyllenhaal,60962878.0,Hugh Jackman,Dylan Minnette,child abduction|detective|investigation|police|sex offender
1085,Antoine Fuqua,Snoop Dogg,76261036.0,Denzel Washington,Tom Berenger,lapd|narc|narcotics|title spoken by character|training
1086,Dean Parisot,Enrico Colantoni,71423726.0,Alan Rickman,Robin Sachs,alien|alien race|convention|fan|general
1087,Keenen Ivory Wayans,Veronica Cartwright,71277420.0,Natasha Lyonne,Andy Richter,blow job|demon|exorcism|priest|professor
1088,James Bobin,Eric Jacobson,88625922.0,Bill Cobbs,Steve Whitmire,bel air california|book|friends who live together|the muppets|tribute band
1089,Stephen Norrington,Traci Lords,70001065.0,Sanaa Lathan,Udo Kier,1990s|blade|blood|vampire|vampire hunter
1090,Thomas Carter,Rick Gonzalez,67253092.0,Channing Tatum,Robert Ri'chard,basketball|basketball coach|coach|contract|high school
1091,Roger Michell,Matt Malloy,66790248.0,Sydney Pollack,Bruce Altman,car accident|feud|lawyer|revenge|road rage
1092,Luis Llosa,Eric Stoltz,65557989.0,Frank Welker,Kari Wuhrer,amazon|anaconda|boat|jungle|snake
1093,David McNally,Tyra Banks,60786269.0,Adam Garcia,Izabella Miko,girl in panties|lift skirt|sexual attraction|short shorts|songwriter
1094,Richard Curtis,Liam Neeson,59365105.0,Colin Firth,Kris Marshall,aging rocker|christmas|love at first sight|minister|prime minister
1095,John Lasseter,Madeline Kahn,162792677.0,Kevin Spacey,John Ratzenberger,ant|circus|grasshopper|misunderstanding|overhearing
1096,Albert Hughes,Jason Flemyng,31598308.0,Johnny Depp,Ian Richardson,freemason|jack the ripper|opium|prostitute|victorian era
1097,Luis Llosa,Rod Steiger,57362581.0,Sylvester Stallone,Emilio Estefan Jr.,bomb|cia|explosive|explosives expert|miami florida
1098,Ron Shelton,Cheech Marin,53854588.0,Don Johnson,Rene Russo,driving range|golf|golfer|tournament|winnebago
1100,Jesse Dylan,Will Ferrell,52580895.0,Josh Hutcherson,Robert Duvall,book|child|slapstick comedy|soccer|suburb
1101,Garth Jennings,Kelly Macdonald,51019112.0,Zooey Deschanel,Thomas Lennon,alien|friend|galaxy|hyperspace|spaceship
1102,Joel Zwick,Nick Zano,48114556.0,Dania Ramirez,Alice Greczyn,animated sequence|junkyard|love|party|television
1103,Russell Mulcahy,Mike Epps,50648679.0,Milla Jovovich,James Tumminia,clone|convoy|crow|desert|satellite
1104,Frank Coraci,Adam Sandler,46280507.0,Bella Thorne,Joel McHale,blind date|children|date|daughter|son
1105,Wayne Wang,Alicia Witt,38360195.0,LL Cool J,Timothy Hutton,chef|congressman|cook|hotel|senator
1106,Curtis Hanson,Glenn Morshower,46815748.0,Meryl Streep,William Lucking,criminal|rafting|river|robber|white water rafting
1107,Frank Oz,Vincent Kartheiser,35617599.0,Steve Coogan,David Keith,best friend|birthday|boy|friend|magic
1108,Oliver Stone,Shea Whigham,47307550.0,Demián Bichir,Gary Stretch,arms tied overhead|damsel in distress|dea|marijuana|southern california
1109,David R. Ellis,Valerie Cruz,32003620.0,Richard Burgi,Will Beinbrink,cell phone|distress signal|family in danger|police|stealing a car
1110,Peter Howitt,Natalie Imbruglia,27972410.0,Kevin McNally,Ben Miller,british|crown jewels|explosion|funeral|spy
1111,John A. Davis,Meryl Streep,28133159.0,Nicolas Cage,Julia Roberts,ant|miniaturization|punishment|shrinking|sudden change in size
1112,David Lynch,Jürgen Prochnow,27400000.0,Virginia Madsen,José Ferrer,desert planet|dune|giant worm|space travel|spice
1113,Julie Taymor,T.V. Carpio,24343673.0,Jim Sturgess,Robert Clohessy,anti war|liverpool|love|protest|song
1114,Sam Mendes,Kate Winslet,22877808.0,Leonardo DiCaprio,Joe Komara,based on novel|children|connecticut|suburb|work
1115,Richard Donner,David Zayas,36883539.0,Bruce Willis,Sasha Roiz,alcoholic|courthouse|detective|jail|witness
1116,Mathieu Kassovitz,Charlotte Rampling,22531698.0,Vin Diesel,David Belle,box office flop|convent|mercenary|new york|pregnant
1117,John Gray,Bob Gunton,20400913.0,Alexa PenaVega,Keenen Ivory Wayans,detective|heavy rain|murder|partner|serial killer
1118,Harold Ramis,Brian Doyle-Murray,20101861.0,John de Lancie,Obba Babatundé,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996
1119,John Schultz,Carter Jenkins,25200412.0,Malese Jow,Tim Meadows,alien|attic|boyfriend|mind control|nintendo ds
1120,Sean Penn,Adrien Dorval,19719930.0,Costas Mandylor,Nels Lennarson,nevada|pledge|police|porcupine|search
1121,Susan Stroman,Will Ferrell,19377727.0,Jon Lovitz,Matthew Broderick,accountant|money|opening night|scheme|swedish
1122,Pete Travis,Jason Cope,13401683.0,Wood Harris,Rakie Ayola,brutality|dark humor|female antagonist|female warrior|post apocalypse
1123,Simon Wincer,Treat Williams,17300889.0,Cary-Hiroyuki Tagawa,Kristy Swanson,ghost|new york city|phantom|skull|superhero
1124,Billy Bob Thornton,Henry Thomas,15527125.0,Matt Damon,Sam Shepard,1940s|cowboy|mexico|railway station|texas
1125,Oliver Stone,Bob Hoskins,13560960.0,Anthony Hopkins,Joan Allen,courtship|election|paranoia|president|quaker
1126,Roman Polanski,Olivia Williams,15523168.0,Jim Belushi,Timothy Hutton,british prime minister|death|island|memoir|writer
1127,Stephen Sommers,Jason Flemyng,11146409.0,Djimon Hounsou,Wes Studi,creature feature|hijacker|ocean|ship|shot in the leg
1128,Spike Lee,Omari Hardwick,7916887.0,Joseph Gordon-Levitt,Laz Alonso,boy|german soldier|partisan|trapped|village
1129,Yimou Zhang,Ye Liu,6565495.0,Li Gong,Man Li,china|chrysanthemum|emperor|empress|prince
1130,Danny Pang,Charlie Yeung,15279680.0,Nicolas Cage,James With,deaf|hitman|nightclub|pickpocket|rules of profession
1131,Barry Sonnenfeld,Janeane Garofalo,7262288.0,Zooey Deschanel,Omar Epps,airport|fbi agent|person in a car trunk|suitcase|suitcase bomb
1132,Mike Newell,Giovanna Mezzogiorno,4584886.0,Marcela Mar,Unax Ugalde,19th century|colombia|love|marriage|widow
1134,George P. Cosmatos,Ben Gazzara,2154540.0,Sam Waterston,Nicholas Turturro,american president|assassin|conspiracy|president|white house
1135,Oliver Parker,Tim McInnerny,8129455.0,Daniel Kaluuya,Togo Igawa,assassin|chinese|conspiracy|gadget|premier
1137,Ben Affleck,Scoot McNairy,136019448.0,Clea DuVall,Tate Donovan,1970s|cia|f word|u.s. embassy|year 1979
1138,Andrew Davis,Daniel Roebuck,183875760.0,Harrison Ford,Sela Ward,hospital|on the run|one armed man|surgeon|u.s. marshal
1139,Andy Tennant,Dorian Missick,67061228.0,Gerard Butler,Peter Greene,bounty hunter|death|murder|police officer|reporter
1140,Barry Levinson,Brad Pitt,53300852.0,Robert De Niro,Minnie Driver,boy|guard|kicked in the crotch|prank|sexual abuse
1141,George P. Cosmatos,Julia Nickson,150415432.0,Sylvester Stallone,Martin Kove,1980s|mission|prison|rambo|vietnam
1142,Brian Gibson,Demi Moore,44834712.0,Joseph Gordon-Levitt,Anne Heche,breasts|mafia|sex scene|temple|woods
1143,Norman Ferguson,Dickie Jones,84300000.0,Mel Blanc,Cliff Edwards,boy|conscience|fairy|jiminy cricket|pinocchio
1144,Michael Cimino,Sam Waterston,1500000.0,Jeff Bridges,Isabelle Huppert,1890s|hired gun|immigrant|johnson county war|sheriff
1145,Len Wiseman,Tony Curran,62318875.0,Sophia Myles,Derek Jacobi,death|feud|forbidden love|vampire|werewolf
1146,Paul McGuigan,Spencer Wilding,5773519.0,Daniel Radcliffe,Daniel Mays,assistant|experiment|frankenstein|medical student|scientist
1147,Gus Van Sant,Rob Brown,51768623.0,F. Murray Abraham,Michael Nouri,basketball|mentor|new york|school|writing
1148,Betty Thomas,Viggo Mortensen,37035515.0,Steve Buscemi,Elizabeth Perkins,12 step program|box office hit|car accident|vomiting|wedding
1149,Louis Leterrier,Jet Li,24520892.0,Morgan Freeman,Bob Hoskins,collar|dog|fight|fighting|piano
1150,Roger Kumble,Lillian Adams,24430272.0,Judith Chapman,Chelsea Bond,female removes her clothes|roommate|voyeur|voyeurism|wedding
1151,Sydney Pollack,Holly Hunter,158348400.0,Tom Cruise,Wilford Brimley,bar|fbi|law|law firm|lawyer
1152,Burr Steers,Charlie Tahan,31136950.0,Augustus Prew,Valerie Tian,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead
1153,Simon West,Tony Goldwyn,29113588.0,Jason Statham,Mini Anden,apprentice|disobeying orders|gas station|hitman|nightclub
1154,Phil Lord,Dax Flame,138447667.0,Channing Tatum,Rob Riggle,narcotics|parody|police|remake|undercover cop
1155,Roger Michell,Clarke Peters,116006080.0,Julia Roberts,Dylan Moran,actress|bookstore|friend|kiss|love
1156,Peter Lord,Miranda Richardson,106793915.0,Imelda Staunton,Julia Sawalha,chicken|escape|farm|freedom|rooster
1157,John Hamburg,Masi Oka,87856565.0,Philip Seymour Hoffman,Debra Messing,bride|friend|honeymoon|insurance|insurance company
1158,Reginald Hudlin,Eartha Kitt,70100000.0,John Witherspoon,Geoffrey Holder,advertising|battle of the sexes|dating|one word title|womanizer
1159,Paul Feig,William Xifaras,159578352.0,Michael Rapaport,Demián Bichir,drug lord|fbi|fbi agent|hospital|shot in the crotch
1160,Joseph L. Mankiewicz,Richard Burton,57750000.0,Martin Landau,Roddy McDowall,cleopatra|egypt|epic|queen|roman empire
1161,Frank Coraci,Reggie Lee,45290318.0,Salma Hayek,Charice,claim in title|high school|mixed martial arts|ultimate fighting championship|underdog
1162,Carl Franklin,Adam Scott,41543207.0,Morgan Freeman,Bruce Davison,defense lawyer|lawyer|marine|murder|villager
1163,Barbra Streisand,Austin Pendleton,41252428.0,Jeff Bridges,Mimi Rogers,columbia university|lecture|marriage|professor|sex
1164,Mark Pellington,Will Patton,35228696.0,Debra Messing,David Eigenberg,car accident|death of wife|mothman|point pleasant west virginia|urban legend
1165,Larry Charles,Elton John,59992760.0,Bono,Slash,austrian|fame|fashion|gay lead character|mockumentary
1166,John Glen,Talisa Soto,34667015.0,Robert Davi,Anthony Zerbe,drug cartel|drug lord|james bond 007|personal vendetta|vengeance
1167,Catherine Hardwicke,Billy Burke,37652565.0,Gary Oldman,Virginia Madsen,death|forest|love|werewolf|werewolf bite
1168,John Herzfeld,Charlize Theron,24375436.0,Robert De Niro,Kelsey Grammer,criminal|detective|fire|homicide|media
1169,Annabel Jankel,Fisher Stevens,20915465.0,Bob Hoskins,Fiona Shaw,based on video game|dinosaur|king|mario|plumber
1170,Andrew Niccol,Jeremy Crutchley,24127895.0,Nicolas Cage,Jared Burke,1980s|arms dealer|immorality|ukrainian|warlord
1171,Yimou Zhang,Tony Chiu Wai Leung,84961.0,Jet Li,Maggie Cheung,china|flying|king|palace|sword
1172,Julie Anne Robinson,Debbie Reynolds,26404753.0,Fisher Stevens,Patrick Fischler,bail bond|bounty hunter|jeans|shot in the butt|title directed by female
1173,Evan Goldberg,Randall Park,6105175.0,James Franco,Anders Holm,assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off
1174,Sngmoo Lee,Dong-gun Jang,5664251.0,Tony Cox,Jed Brophy,bullet time|explosion|knife throwing|throwing a knife|violence
1176,Jean-Pierre Jeunet,Dany Boon,1260917.0,Omar Sy,André Dussollier,bullet|contortionist|gag humor|human cannonball|revenge
1177,Curtis Hanson,Omar Benson Miller,116724075.0,Mekhi Phifer,Evan Jones,competition|contest|friend|self expression|white rapper
1179,Brian Helgeland,Rufus Sewell,56083966.0,Heath Ledger,Bérénice Bejo,chaucer|jousting|knight|medieval times|tournament
1180,Gordon Chan,Lee Evans,22108977.0,Julian Sands,Anthony Chau-Sang Wong,hong kong|interpol|medallion|ship|tough cop
1181,M. Night Shyamalan,Haley Joel Osment,293501675.0,Bruce Willis,Olivia Williams,able to see the dead|ghost|plot twist|psychic|surprise ending
1182,Asger Leth,Mandy Gonzalez,18600911.0,Robert Clohessy,J. Smith-Cameron,detective|diamond|hotel|police|rooftop
1183,David Frankel,Kevin Pollak,7204138.0,Joel McHale,JoBeth Williams,alaska|birding|competition|migration|storm
1184,John G. Avildsen,William Zabka,90800000.0,Martin Kove,William Bassett,apartment|bully|fight|karate|master
1185,David O. Russell,Christian Bale,150117807.0,Jennifer Lawrence,Bradley Cooper,based on true story|con artist|drunk wife|fbi investigation|scam
1186,Anne Fletcher,Denis O'Hare,163947053.0,Ryan Reynolds,Craig T. Nelson,alaska|deportation|father son relationship|male objectification|sitka alaska
1187,Bruce Beresford,Annabeth Gish,116735231.0,Bruce Greenwood,Bruce Campbell,blood|murder|sex scene|wrongful arrest|wrongful conviction
1188,Robert Zemeckis,Jeffrey Weissman,118500000.0,Lea Thompson,Thomas F. Wilson,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character
1189,Luc Besson,Morgan Freeman,126546825.0,Scarlett Johansson,Amr Waked,brain capacity|drugs|fictional drug|one woman army|tough girl
1190,Sam Taylor-Johnson,Luke Grimes,166147885.0,Jennifer Ehle,Callum Rennie,female frontal nudity|female nudity|perversion|sex scene|spanking
1191,Robert Rodriguez,Salma Hayek,111760631.0,Sylvester Stallone,Alexa PenaVega,mission|spy|surfing|trapped|virtual reality
1192,Joel Schumacher,Matthew McConaughey,108706165.0,Kevin Spacey,Oliver Platt,african american|court|law|mississippi|trial
1193,Shawn Levy,Alyson Stoner,138614544.0,Tom Welling,Bonnie Hunt,9 year old|house|illinois|new job|vomiting
1194,Peter Berg,Scott Elrod,125069696.0,Jerry Ferrara,Dan Bilzerian,courage|navy seal|outnumbered|shot multiple times|survival
1195,Penny Marshall,Lori Petty,107458785.0,Tom Hanks,Rosie O'Donnell,baseball|friend|oregon|rivalry|softball
1196,James Wan,Frances O'Connor,102310175.0,Javier Botet,Robin Atkin Downes,based on supposedly true story|house|paranormal investigating|psychic|second part
1197,David Fincher,Dustin Fitzsimons,96917897.0,Andrew Garfield,Marcella Lentz-Pope,competitiveness|creator|entrepreneur|facebook|intellectual property
1198,Ken Kwapis,Sabrina Revelle,93952276.0,Carmen Perez,Sachiko Ishida,advertising|bar|dating|lingerie slip|six word title
1199,David Zucker,Carmen Electra,90703745.0,Beau Mirchoff,Regina Hall,female nudity|male nudity|parody|reference to myspace|sequel
1200,Wes Craven,Roger Jackson,89138076.0,Kelly Rutherford,Nancy O'Dell,death|ghostface|murder|scream|survivor
1201,Robert Zemeckis,Jeffrey Weissman,87666629.0,Lea Thompson,Thomas F. Wilson,band|dog|letter|time machine|tombstone
1202,Etan Cohen,Alison Brie,90353764.0,Will Ferrell,Craig T. Nelson,camera focus on female butt|gay bar|millionaire|singing in a car|two word title
1203,Francis Ford Coppola,Anthony Hopkins,82522790.0,Keanu Reeves,Gary Oldman,dracula|horror movie remake|maze|monster sex|vampire
1204,Nora Ephron,Mary Lynn Rajskub,94125426.0,Meryl Streep,Vanessa Ferlito,american|blog|book|cook|cooking
1205,Brian Helgeland,Christopher Meloni,95001343.0,Harrison Ford,Nicole Beharie,baseball|baseball player|brooklyn dodgers|major league baseball|racism
1206,Anthony Minghella,Matt Damon,81292135.0,Philip Seymour Hoffman,Jack Davenport,1950s|italy|mistaken identity|nudity|sociopath
1207,Bobby Farrelly,Kathleen Turner,86208010.0,Bill Murray,Rob Riggle,adoption|highway travel|road trip|sequel|stupidity
1208,Frank Marshall,Bruce Greenwood,81593527.0,Paul Walker,Wendy Crewson,antarctica|dog|siberian husky|sled dog|survival
1209,Nancy Meyers,Anne Hathaway,75274748.0,Robert De Niro,Rene Russo,reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website
1210,Tim Story,Nadine Velazquez,90835030.0,Olivia Munn,Bruce McGill,computer hacker|crime boss|detective|drugs|wedding
1211,Michael Mann,Terry Kinney,72455275.0,Wes Studi,Eric Schweig,18th century|based on novel|colonel|french and indian war|revenge
1212,Taylor Hackford,Curtis Armstrong,75305995.0,Bokeem Woodbine,Harry Lennix,1950s|1960s|racism|rhythm and blues|singer
1213,Frank Miller,Powers Boothe,74098862.0,Rosario Dawson,Jason Douglas,anthology|corruption|hearing characters thoughts|neo noir|night
1214,Pete Travis,Edgar Ramírez,72266306.0,Dennis Quaid,William Hurt,explosion|multiple perspectives|president|secret service|shooting
1215,John Hamburg,Jon Favreau,71347010.0,J.K. Simmons,Jane Curtin,bromance|friend|gay brother|homosexual subtext|wedding
1216,Bobby Farrelly,Bruce McGill,70836296.0,Jason Alexander,Susan Ward,dying|friend|inner beauty|love|self help guru
1217,Oliver Stone,Jay O. Sanders,70405498.0,Sally Kirkland,Cheryl Penland,death|gay slur|homosexuality|investigation|president
1218,John Whitesell,Nia Long,70163652.0,Chloë Grace Moretz,Marisol Nichols,cheerleading|fbi|fbi agent|nanny|undercover
1219,Gore Verbinski,Brad Pitt,66808615.0,J.K. Simmons,Julia Roberts,curse|hostage|mexico|pistol|vomiting
1220,Angelina Jolie Pitt,Jack O'Connell,115603980.0,Finn Wittrock,Alex Russell,emaciation|male nudity|plane crash|prisoner of war|torture
1221,Burr Steers,Hunter Parrish,64149837.0,Matthew Perry,Thomas Lennon,adult as child|father son relationship|high school student|janitor|school
1222,Nick Cassavetes,Kate Upton,83906114.0,Don Johnson,David Thornton,beach house|blonde bombshell|cheating husband|revenge|wife meets mistress
1223,David R. Ellis,Andrew Fiscella,66466372.0,Krista Allen,Shantel VanSanten,attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out
1224,Steven Spielberg,Mark Rylance,72306065.0,Tom Hanks,Amy Ryan,cia|cold war|lawyer|negotiation|spy
1225,John Moore,David Keith,59068786.0,Joaquim de Almeida,Sam Jaeger,battle|massacre|navigator|navy|rescue
1226,Nicholas Stoller,Mario Lopez,60923325.0,Pink,Lino Facioli,concert|drugs|recession|record company|rock star
1227,Peter Chelsom,Nick Cannon,57887882.0,Lisa Ann Walter,Omar Benson Miller,dance|dance competition|dance lesson|love|teacher
1228,Joe Dante,Denis Leary,53955614.0,Kirsten Dunst,Robert Picardo,action figure|battle|computer|military|toy
1229,Mark A.Z. Dippé,Frank Welker,54967359.0,Michael Jai White,Miko Hughes,based on comic|based on comic book|dark hero|image comics|superhero
1230,Kevin Reynolds,James Frain,54228104.0,Henry Cavill,Michael Wincott,count|escape|island|revenge|sailor
1231,Brad Furman,Margarita Levieva,57981889.0,Matthew McConaughey,Frances Fisher,defense attorney|defense lawyer|lawyer|plot twist|prostitute
1232,Jaume Collet-Serra,Frank Langella,61094903.0,Liam Neeson,Aidan Quinn,agriculture|airport|amnesia|nurse|scientist
1233,Christopher Nolan,Hugh Jackman,53082743.0,Christian Bale,Scarlett Johansson,illusion|magician|obsession|rivalry|secret
1234,Sean Anders,Christoph Waltz,54414716.0,Kevin Spacey,Lindsay Sloane,kidnapping|reference to franz beckenbauer|scene during end credits|second part|singing in a car
1235,Cal Brunker,Paul Scheer,57011847.0,Brendan Fraser,Jonathan Morgan Heit,alien|cult film|mission control|product placement|rescue
1236,Mel Gibson,Dalia Hernández,50859889.0,Rudy Youngblood,Jonathan Brewer,jaguar|mayan|solar eclipse|tribe|village
1237,John Glen,Desmond Llewelyn,51185897.0,Joe Don Baker,Art Malik,british agent|defection|escape|kgb|soviet general
1238,Nimród Antal,Alice Braga,52000688.0,Topher Grace,Derek Mears,kicked in the face|martial arts|punched in the face|strong female character|woman punching a man
1239,Ivan Reitman,Debra Winger,49851591.0,Brian Dennehy,Roscoe Lee Browne,judicial|judiciary|lawyer|murder|painting
1240,David Koepp,Charles S. Dutton,47781388.0,Johnny Depp,Timothy Hutton,adultery|extramarital affair|infidelity|unfaithfulness|writer
1241,Alejandro Agresti,Dylan Walsh,52320979.0,Keanu Reeves,Ebon Moss-Bachrach,house|lake|letter|love across time|parallel time
1242,Iain Softley,Deneen Tyler,47806295.0,Gena Rowlands,Joy Bryant,attic|bound and gagged|hoodoo|secret|southern gothic
1243,Peter Hedges,Odeya Rush,51853450.0,Jennifer Garner,Common,dodgeball|portrait|soccer|soccer game|young love
1244,Paul Weiland,Beau Garrett,46012734.0,Busy Philipps,Kevin Sussman,friend|love|maid|maid of honor|marriage
1245,Clint Eastwood,Steve Schirripa,47034272.0,Johnny Cannizzaro,Scott Vance,band|music group|musical quartet|singer|song
1246,Francis Ford Coppola,Dean Stockwell,45856732.0,Matt Damon,Virginia Madsen,courtroom|domestic violence|insurance company|lawyer|underdog
1247,Mathieu Kassovitz,Charles S. Dutton,59588068.0,Robert Downey Jr.,Bernard Hill,memory|murder|patient|psychiatrist|the devil
1248,Steven Spielberg,Morgan Freeman,44175394.0,Anthony Hopkins,Matthew McConaughey,courtroom|mutiny|ship|slave ship|slave trade
1249,John McTiernan,José Wilker,45500797.0,Lorraine Bracco,Sean Connery,cancer|environment|gas chromatograph|jungle|nature
1250,Colin Strause,Johnny Lewis,41797066.0,Sam Trammell,Ian Whyte,alien|escape|hunting|hybrid|predator
1251,Donald Petrie,John Larroquette,38087756.0,Macaulay Culkin,Jonathan Hyde,attempted murder|based on comic book|escape from prison|lost at sea|wealth
1252,Joan Chen,Sam Trammell,37752931.0,J.K. Simmons,Elaine Stritch,may december romance|new york|new york city|rockefeller center|title directed by female
1253,Marc Lawrence,Scott Porter,50562555.0,Brad Garrett,Haley Bennett,love|lyricist|singer|singing|song
1254,Greg Mottola,Nelson Ascencio,37371385.0,Bobby Lee,Jeremy Owen,alien|geek|nerd|road trip|ufo
1255,Anne Fletcher,Tom Virtue,37101011.0,Miriam Margolyes,Julene Renee,cross country|love|mother son relationship|on the road|trip
1256,Wes Craven,Aimee Teegarden,38176892.0,Alison Brie,Shenae Grimes-Beech,author|book|deputy|murder|sheriff
1257,Joel Schumacher,Chris Bauer,36283504.0,Nicolas Cage,Anthony Heald,investigation|obsession|private eye|private investigator|snuff film
1258,Oliver Stone,Kevin Dillon,35183792.0,Michael Wincott,Kathleen Quinlan,death|paris france|rock band|singer|the doors
1259,Jake Kasdan,Randall Park,38543473.0,James Wilcox,Nat Faxon,sex in a car|sex video|sexual desire|sexuality|undressing
1260,Diane Keaton,Celia Weston,36037909.0,Adam Arkin,Jesse James,actress|clown costume|magazine|party planner|soap opera actress
1261,Steven Quale,Jacqueline MacInnes Wood,42575718.0,Emma Bell,Courtney B. Vance,blood splatter|death|eyeball run over by car|latex gloves|suspension bridge
1262,Kelly Makin,Burt Young,33864342.0,Jeanne Tripplehorn,Vincent Pastore,auctioneer|fbi|mafia|mobster|painting
1263,Mimi Leder,Haley Joel Osment,33508922.0,Kevin Spacey,Angie Dickinson,alcoholism|boy|good deed|protective male|teacher
1264,Bobby Farrelly,KaDee Strickland,42071069.0,Jimmy Fallon,Ione Skye,baltimore orioles|boston red sox|promotion|ups|world series
1266,Steven Brill,Shaun Weiss,32853640.0,Lisa Ann Walter,Matt Walsh,bodyguard|bully|generation y|high school|nerd
1267,Seth MacFarlane,Charlize Theron,42615685.0,Liam Neeson,Seth MacFarlane,dancing sheep|fetish|musical scene|racial humor|snake poison
1268,Russell Mulcahy,Peter Boyle,32055248.0,Jonathan Winters,John Kapelos,1930s|bomb|city|invisibility|the shadow
1269,Stephen Daldry,Thomas Horn,31836745.0,Tom Hanks,Stephen Henderson,fear|mourning|mute|quest|revelation
1270,Roger Michell,Patti D'Arbanville,30993544.0,Noah Bean,Vanessa Aspillaga,job offer|roller coaster|slow motion action scene|slow motion sequence|television
1271,Jim Sheridan,Bill Duke,30981850.0,50 Cent,Marc John Jefferies,male frontal nudity|male pubic hair|prison|pubic hair|violence
1272,Christian Duguay,Cary-Hiroyuki Tagawa,30199105.0,Michael Biehn,Anne Archer,blood splatter|fbi|murder|secretary general|united nations
1273,Chris Columbus,David Fine,29077547.0,Rosario Dawson,Jesse L. Martin,aids|hiv positive|lawyer|new york city|roommate
1274,Chuck Russell,Jimmy Smits,29374178.0,Rufus Sewell,Angela Bettis,easter|fbi|luminol|nurse|omen
1275,Sam Weisman,Valerie Perri,28535768.0,Oliver Hudson,Carlease Burke,job interview|manhattan new york city|new york city|remake|sausage
1276,John Frankenheimer,Temuera Morrison,27663982.0,Marlon Brando,Marco Hofschneider,animal experimentation|chimera|island|jungle|mutant
1277,Peter Hyams,Justin Chambers,27053815.0,Catherine Deneuve,Stephen Rea,guard|king|murder|musketeer|swordsman
1278,Justin Chadwick,Scarlett Johansson,26814957.0,Natalie Portman,Benedict Cumberbatch,children|court|king|king henry viii|love
1279,Pat O'Connor,Charlize Theron,25178165.0,Keanu Reeves,Frank Langella,advertising|cancer|dog|san francisco california|terminal illness
1280,Stephen Hopkins,Andrea Frankle,25117498.0,Stephen Rea,William Ragsdale,biblical plague|louisiana|missionary|plague|small town
1281,Martin Scorsese,David Carradine,32645.0,Robert De Niro,David Proval,bar|catholic guilt|epilepsy|italian american|money
1282,Penny Marshall,Cliff Robertson,24332324.0,Ed Begley Jr.,Lillo Brancato,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army
1283,Olivier Megaton,Callum Blue,36665854.0,Jordi Mollà,Jesse Borrego,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt
1284,Frederik Du Chau,Jaleel White,22717758.0,Gary Oldman,Eric Idle,camelot|dragon|excalibur|knight|sword
1285,Michael Caton-Jones,James Franco,22433915.0,Robert De Niro,John Doman,beach|grandson|murder|new york city|police
