,director_name,actor_1_name,actor_2_name,actor_3_name,genres,gross
648,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Drama,183635922.0
649,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Thriller,183635922.0
650,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Western,183635922.0
651,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Adventure,83024900.0
652,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Animation,83024900.0
653,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Comedy,83024900.0
654,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Family,83024900.0
655,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Sport,83024900.0
656,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,Adventure,123207194.0
657,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,Animation,123207194.0
658,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,Comedy,123207194.0
659,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,Family,123207194.0
660,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,Western,123207194.0
661,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Adventure,83348920.0
662,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Animation,83348920.0
663,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Comedy,83348920.0
664,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Family,83348920.0
665,Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,Action,227137090.0
666,Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,Mystery,227137090.0
667,Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,Thriller,227137090.0
668,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Action,215395021.0
669,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Adventure,215395021.0
670,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Animation,215395021.0
671,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Comedy,215395021.0
672,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Family,215395021.0
673,Peyton Reed,Judy Greer,Hayley Atwell,T.I.,Action,180191634.0
674,Peyton Reed,Judy Greer,Hayley Atwell,T.I.,Adventure,180191634.0
675,Peyton Reed,Judy Greer,Hayley Atwell,T.I.,Comedy,180191634.0
676,Peyton Reed,Judy Greer,Hayley Atwell,T.I.,Sci-Fi,180191634.0
677,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Adventure,424645577.0
678,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Sci-Fi,424645577.0
679,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Thriller,424645577.0
680,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure,292298923.0
681,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Drama,292298923.0
682,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Fantasy,292298923.0
683,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,Romance,292298923.0
684,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Adventure,177343675.0
685,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Animation,177343675.0
686,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Comedy,177343675.0
687,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Family,177343675.0
688,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Fantasy,177343675.0
689,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,Sci-Fi,177343675.0
690,Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Adventure,234277056.0
691,Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Sci-Fi,234277056.0
692,Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Thriller,234277056.0
693,Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,Action,138396624.0
694,Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,Comedy,138396624.0
695,Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,Crime,138396624.0
696,Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,Thriller,138396624.0
697,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,Action,149234747.0
698,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,Adventure,149234747.0
699,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,Animation,149234747.0
700,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,Comedy,149234747.0
701,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,Family,149234747.0
702,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,Fantasy,149234747.0
703,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,Action,118311368.0
704,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,Crime,118311368.0
705,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,Mystery,118311368.0
706,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,Thriller,118311368.0
707,Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,Action,101160529.0
708,Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,Adventure,101160529.0
709,Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,Drama,101160529.0
710,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,Action,77564037.0
711,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,Adventure,77564037.0
712,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,Family,77564037.0
713,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,Mystery,77564037.0
714,Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,Adventure,249358727.0
715,Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,Family,249358727.0
716,Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,Fantasy,249358727.0
717,Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,Mystery,249358727.0
718,Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,Adventure,49551662.0
719,Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,Drama,49551662.0
720,Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,Romance,49551662.0
721,Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,War,49551662.0
722,M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,Action,60522097.0
723,M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,Adventure,60522097.0
724,M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,Sci-Fi,60522097.0
725,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,Adventure,137748063.0
726,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,Animation,137748063.0
727,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,Family,137748063.0
728,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,Thriller,137748063.0
729,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure,113733726.0
730,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Comedy,113733726.0
731,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Family,113733726.0
732,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Fantasy,113733726.0
733,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,Action,148337537.0
734,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,Animation,148337537.0
735,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,Comedy,148337537.0
736,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,Family,148337537.0
737,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,Sci-Fi,148337537.0
738,Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Adventure,317557891.0
739,Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Family,317557891.0
740,Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Fantasy,317557891.0
741,Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Action,33592415.0
742,Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Comedy,33592415.0
743,Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Fantasy,33592415.0
744,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action,305388685.0
745,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Adventure,305388685.0
746,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Fantasy,305388685.0
747,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure,337103873.0
748,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Sci-Fi,337103873.0
749,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Thriller,337103873.0
750,Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,Mystery,217536138.0
751,Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,Thriller,217536138.0
752,Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Adventure,131536019.0
753,Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Animation,131536019.0
754,Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Comedy,131536019.0
755,Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Family,131536019.0
756,Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Musical,131536019.0
757,Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,Action,214948780.0
758,Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,Adventure,214948780.0
759,Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,Fantasy,214948780.0
760,Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,Sci-Fi,214948780.0
761,Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,Thriller,214948780.0
762,Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,Action,209805005.0
763,Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,Crime,209805005.0
764,Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,Thriller,209805005.0
765,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Action,186830669.0
766,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Adventure,186830669.0
767,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Crime,186830669.0
768,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Mystery,186830669.0
769,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Thriller,186830669.0
770,Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,Action,163192114.0
771,Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,Adventure,163192114.0
772,Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,Fantasy,163192114.0
773,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,Action,119412921.0
774,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,Sci-Fi,119412921.0
775,John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,Action,32694788.0
776,John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,Adventure,32694788.0
777,John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,History,32694788.0
778,Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,Action,113165635.0
779,Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,Adventure,113165635.0
780,Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,Thriller,113165635.0
781,Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,Action,107285004.0
782,Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,Comedy,260031035.0
783,Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,Family,260031035.0
784,Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,Fantasy,260031035.0
785,Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Action,186739919.0
786,Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Adventure,186739919.0
787,Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Sci-Fi,186739919.0
788,Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Thriller,186739919.0
789,John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,Action,215397307.0
790,John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,Adventure,215397307.0
791,John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,Thriller,215397307.0
792,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Action,182618434.0
793,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Adventure,182618434.0
794,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Drama,182618434.0
795,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Thriller,182618434.0
796,Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,Action,131920333.0
797,Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,Adventure,131920333.0
798,Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,Sci-Fi,131920333.0
799,Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,Thriller,131920333.0
800,Ang Lee,Suraj Sharma,Rafe Spall,Tabu,Adventure,124976634.0
801,Ang Lee,Suraj Sharma,Rafe Spall,Tabu,Drama,124976634.0
802,Ang Lee,Suraj Sharma,Rafe Spall,Tabu,Fantasy,124976634.0
803,Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,Action,115802596.0
804,Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,Fantasy,115802596.0
805,Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,Thriller,115802596.0
806,Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,Action,108521835.0
807,Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,Thriller,108521835.0
808,McG,Demi Moore,Bernie Mac,Justin Theroux,Action,100685880.0
809,McG,Demi Moore,Bernie Mac,Justin Theroux,Adventure,100685880.0
810,McG,Demi Moore,Bernie Mac,Justin Theroux,Comedy,100685880.0
811,McG,Demi Moore,Bernie Mac,Justin Theroux,Crime,100685880.0
812,Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris,Adventure,126464904.0
813,Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris,Mystery,126464904.0
814,Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris,Sci-Fi,126464904.0
815,Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,Adventure,64736114.0
816,Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,Animation,64736114.0
817,Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,Comedy,64736114.0
818,Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,Family,64736114.0
819,Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,Fantasy,64736114.0
820,Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,Action,93050117.0
821,Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,Drama,93050117.0
822,Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,Sci-Fi,93050117.0
823,Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,Thriller,93050117.0
824,David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,Action,57637485.0
825,David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,Adventure,57637485.0
826,David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,Sci-Fi,57637485.0
827,David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,Thriller,57637485.0
828,José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action,58607007.0
829,José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Crime,58607007.0
830,José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Sci-Fi,58607007.0
831,José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Thriller,58607007.0
832,Lana Wachowski,Scott Porter,Kick Gurry,Nicholas Elia,Action,43929341.0
833,Lana Wachowski,Scott Porter,Kick Gurry,Nicholas Elia,Family,43929341.0
834,Lana Wachowski,Scott Porter,Kick Gurry,Nicholas Elia,Sport,43929341.0
835,James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,Comedy,30212620.0
836,James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,Drama,30212620.0
837,James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,Romance,30212620.0
838,James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà,Action,76418654.0
839,James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà,Comedy,76418654.0
840,James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà,Romance,76418654.0
841,Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,Action,89021735.0
842,Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,Adventure,89021735.0
843,Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,Mystery,89021735.0
844,Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,Sci-Fi,89021735.0
845,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Action,380262555.0
846,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Adventure,380262555.0
847,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Fantasy,380262555.0
848,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Sci-Fi,380262555.0
849,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Action,310675583.0
850,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Adventure,310675583.0
851,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Fantasy,310675583.0
852,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,Sci-Fi,310675583.0
853,Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn,Adventure,289907418.0
854,Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn,Animation,289907418.0
855,Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn,Comedy,289907418.0
856,Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn,Family,289907418.0
857,Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn,Fantasy,289907418.0
858,James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,Action,132550960.0
859,James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,Adventure,132550960.0
860,James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,Sci-Fi,132550960.0
861,James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,Thriller,132550960.0
862,George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,Action,474544677.0
863,George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,Adventure,474544677.0
864,George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,Fantasy,474544677.0
865,George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,Sci-Fi,474544677.0
866,Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,Adventure,187165546.0
867,Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,Animation,187165546.0
868,Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,Comedy,187165546.0
869,Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,Family,187165546.0
870,Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,Fantasy,187165546.0
871,John Woo,Nicolas Cage,Roger Willie,Noah Emmerich,Action,40911830.0
872,John Woo,Nicolas Cage,Roger Willie,Noah Emmerich,Drama,40911830.0
873,John Woo,Nicolas Cage,Roger Willie,Noah Emmerich,War,40911830.0
874,Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,Charlize Theron,Action,47952020.0
875,Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,Charlize Theron,Adventure,47952020.0
876,Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,Charlize Theron,Drama,47952020.0
877,Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,Charlize Theron,Fantasy,47952020.0
878,Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Action,190871240.0
879,Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Adventure,190871240.0
880,Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Comedy,190871240.0
881,Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Sci-Fi,190871240.0
882,Alfonso Cuarón,Phaldut Sharma,Basher Savage,Amy Warren,Adventure,274084951.0
883,Alfonso Cuarón,Phaldut Sharma,Basher Savage,Amy Warren,Drama,274084951.0
884,Alfonso Cuarón,Phaldut Sharma,Basher Savage,Amy Warren,Sci-Fi,274084951.0
885,Alfonso Cuarón,Phaldut Sharma,Basher Savage,Amy Warren,Thriller,274084951.0
886,Roger Donaldson,Jamie Renée Smith,Grant Heslov,Tzi Ma,Action,67155742.0
887,Roger Donaldson,Jamie Renée Smith,Grant Heslov,Tzi Ma,Adventure,67155742.0
888,Roger Donaldson,Jamie Renée Smith,Grant Heslov,Tzi Ma,Thriller,67155742.0
889,Dave Green,Stephen Amell,Noel Fisher,Brad Garrett,Action,81638674.0
890,Dave Green,Stephen Amell,Noel Fisher,Brad Garrett,Adventure,81638674.0
891,Dave Green,Stephen Amell,Noel Fisher,Brad Garrett,Comedy,81638674.0
892,Dave Green,Stephen Amell,Noel Fisher,Brad Garrett,Sci-Fi,81638674.0
893,Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Action,56114221.0
894,Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Adventure,56114221.0
895,Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Sci-Fi,56114221.0
896,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Action,250863268.0
897,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure,250863268.0
898,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Comedy,250863268.0
899,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Family,250863268.0
900,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Fantasy,250863268.0
901,Brad Peyton,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Action,155181732.0
902,Brad Peyton,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Adventure,155181732.0
903,Brad Peyton,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Drama,155181732.0
904,Brad Peyton,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Thriller,155181732.0
905,Roger Spottiswoode,Vincent Schiavelli,Colin Salmon,Joe Don Baker,Action,125332007.0
906,Roger Spottiswoode,Vincent Schiavelli,Colin Salmon,Joe Don Baker,Adventure,125332007.0
907,Roger Spottiswoode,Vincent Schiavelli,Colin Salmon,Joe Don Baker,Thriller,125332007.0
908,Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,Action,113330342.0
909,Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,Drama,113330342.0
910,Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,History,113330342.0
911,Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,War,113330342.0
912,Steven Soderbergh,Brad Pitt,Julia Roberts,Mini Anden,Crime,125531634.0
913,Steven Soderbergh,Brad Pitt,Julia Roberts,Mini Anden,Thriller,125531634.0
914,Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Action,186336103.0
915,Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Comedy,186336103.0
916,Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Crime,186336103.0
917,Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Romance,186336103.0
918,Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Thriller,186336103.0
919,Robert Schwentke,Kate Winslet,Theo James,Mekhi Phifer,Adventure,129995817.0
920,Robert Schwentke,Kate Winslet,Theo James,Mekhi Phifer,Sci-Fi,129995817.0
921,Robert Schwentke,Kate Winslet,Theo James,Mekhi Phifer,Thriller,129995817.0
922,Martin Scorsese,Leonardo DiCaprio,Adam Scott,Frances Conroy,Biography,102608827.0
923,Martin Scorsese,Leonardo DiCaprio,Adam Scott,Frances Conroy,Drama,102608827.0
924,Rob Letterman,James Corden,Catherine Tate,Olly Alexander,Adventure,42776259.0
925,Rob Letterman,James Corden,Catherine Tate,Olly Alexander,Comedy,42776259.0
926,Rob Letterman,James Corden,Catherine Tate,Olly Alexander,Family,42776259.0
927,Rob Letterman,James Corden,Catherine Tate,Olly Alexander,Fantasy,42776259.0
928,Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Action,98780042.0
929,Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Comedy,98780042.0
930,Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Crime,98780042.0
931,Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Sci-Fi,98780042.0
932,Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Thriller,98780042.0
933,Noam Murro,Eva Green,Sullivan Stapleton,Peter Mensah,Action,106369117.0
934,Noam Murro,Eva Green,Sullivan Stapleton,Peter Mensah,Drama,106369117.0
935,Noam Murro,Eva Green,Sullivan Stapleton,Peter Mensah,Fantasy,106369117.0
936,Noam Murro,Eva Green,Sullivan Stapleton,Peter Mensah,War,106369117.0
937,Raja Gosnell,Mahadeo Shivraj,Tim Gunn,Madison McKinley,Adventure,142614158.0
938,Raja Gosnell,Mahadeo Shivraj,Tim Gunn,Madison McKinley,Animation,142614158.0
939,Raja Gosnell,Mahadeo Shivraj,Tim Gunn,Madison McKinley,Comedy,142614158.0
940,Raja Gosnell,Mahadeo Shivraj,Tim Gunn,Madison McKinley,Family,142614158.0
941,Raja Gosnell,Mahadeo Shivraj,Tim Gunn,Madison McKinley,Fantasy,142614158.0
942,Will Finn,Steve Buscemi,Roseanne Barr,G.W. Bailey,Animation,50026353.0
943,Will Finn,Steve Buscemi,Roseanne Barr,G.W. Bailey,Comedy,50026353.0
944,Will Finn,Steve Buscemi,Roseanne Barr,G.W. Bailey,Family,50026353.0
945,Will Finn,Steve Buscemi,Roseanne Barr,G.W. Bailey,Music,50026353.0
946,Will Finn,Steve Buscemi,Roseanne Barr,G.W. Bailey,Western,50026353.0
